Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
0,เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,0.0700079554494828,0.9299920445505172,2514,7359.734693877551,2300.587878787879,1133.666666666667,3525.022471910112,3229.854280510018,11690.97448979592,6656.268518518518,0.0,3968.713450292398,3508.124401913876,0,First
2,เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,0.0410209662716499,0.95897903372835,1097,4337.456140350877,1029.834782608696,10750.0,1601.458333333333,2195.677685950413,6892.016129032259,2202.71186440678,0.0,2646.046511627907,2385.809917355372,0,First
3,เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,0.2432432432432432,0.7567567567567568,37,0.0,0.0,0.0,805.5,700.5,870.0,6333.388888888889,0.0,0.0,724.0,0,First
4,เจ้าพระยา,None,None,Private,200,5750,7,350,0.1082882132444814,0.8917117867555185,2401,9831.29569892473,2724.815789473684,4627.611111111111,7126.633027522936,4249.368932038835,12807.21146245059,15016.01834862385,860.0,7248.317073170731,7166.304498269897,0,First
5,เซนต์หลุยส์,Top,None,Private,387,4500,9,188,0.0352337110481586,0.9647662889518414,5648,3373.706666666666,1843.25,1225.357142857143,1647.101167315175,1877.385616438356,4199.056122448979,3220.787037037037,0.0,1818.203007518797,2944.680589680589,0,First
6,เทพธารินทร์,None,None,Private,80,2100,8,106,0.0403768506056527,0.9596231493943472,743,7065.09375,2463.687213114754,4534.9,7684.175438596491,4776.040476190477,33257.13333333333,3318.6875,0.0,2759.032258064516,5185.833333333333,0,First
7,เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,0.0668596999210318,0.9331403000789682,3799,5526.341013824885,1802.602209944752,1289.176470588235,1507.169590643275,3048.183544303798,7573.167630057804,3693.16814159292,0.0,4639.005714285714,4268.49494949495,0,First
8,เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,0.0609776034003596,0.9390223965996404,6117,6626.973063973064,1292.646306818182,2977.761904761905,1889.329540816326,3625.298387096774,12086.54436450839,6554.67,0.0,4357.484184914842,3136.010183299389,0,First
9,เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,0.0542873865964296,0.9460052677787532,6834,5798.104954954955,3339.96288056206,2055.441034482759,2752.413922829582,2559.190123056994,7634.949027303753,6990.291814254861,0.0,4615.097236024845,2701.822250000004,0,First
10,เพชรเวช,None,None,Private,200,4810,9,306,0.0398657154846831,0.9601342845153168,2383,3036.302816901408,1078.539325842697,1978.169811320755,1273.029411764706,1784.577868852459,6677.289099526066,2368.015873015873,0.0,1585.971428571428,10314.63358778626,0,First
