ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,ค่าบริการทางการแพทย์
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,157,0.07000795544948289,0.9299920445505171,2514,150
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,286,0.05789717461787865,0.9421028253821213,4318,150
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,101,0.04102096627164995,0.95897903372835,1097,150
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,117,0.24324324324324326,0.7567567567567568,37,100
เจ้าพระยา,None,None,Private,200,5750,7,350,0.10828821324448147,0.8917117867555185,2401,80
เซนต์หลุยส์,Top,None,Private,387,4500,9,188,0.03523371104815864,0.9647662889518414,5648,200
เทพธารินทร์,None,None,Private,80,2100,8,106,0.040376850605652756,0.9596231493943472,743,280
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,263,0.06685969992103186,0.9331403000789682,3799,100
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,183,0.06097760340035965,0.9390223965996404,6117,100
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,305,0.054287386596429614,0.9460052677787533,6834,100
เพชรเวช,None,None,Private,200,4810,9,306,0.03986571548468317,0.9601342845153168,2383,100
เมดพาร์ค,Top,None,Private,205,11000,9,394,0.11320754716981132,0.8867924528301887,106,430
เลิดสิน,None,None,Public,609,1600,9,185,0.14871794871794872,0.8512820512820513,195,100
เวชธานี,None,None,Private,263,5850,8,722,0.06722383720930232,0.9327761627906976,2752,150
เวชศาสตร์เขตร้อน,None,None,Public,106,1700,3,41,0.043010752688172046,0.956989247311828,186,100
แพทย์ปัญญา,None,None,Private,125,2150,9,22,0.176,0.824,125,100
ไทยนครินทร์,None,None,Private,190,6020,9,346,0.07291949037679588,0.9270805096232041,3689,125
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,1198,0.06282906282906282,0.9378729378729379,5698,300
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,319,0.06299840510366826,0.9370015948963317,5016,400
กล้วยน้ำไท 1,None,None,Private,160,6650,8,85,0.06239168110918544,0.9376083188908145,577,100
กลาง,None,None,Public,475,3000,9,116,0.14193548387096774,0.8580645161290322,155,30
คลองตัน,None,None,Private,30,2000,4,21,0.21621621621621623,0.7837837837837838,37,100
คามิลเลียน,None,None,Private,120,4400,7,146,0.021361815754339118,0.9786381842456608,749,100
จุฬาภรณ์,None,None,Public,115,3500,8,445,0.15500945179584122,0.8468809073724007,529,100
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,435,0.14882577826324414,0.8511742217367558,3662,20
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,384,0.0935672514619883,0.9064327485380117,1881,150
ซีจีเอชสายไหม,None,None,Private,100,3890,8,384,0.06381798002219756,0.9361820199778025,1802,50
ตำรวจ,None,None,Public,485,1600,8,363,0.3131868131868132,0.6868131868131868,182,50
ทหารผ่านศึก,None,None,Public,277,1500,9,101,0.20754716981132076,0.7924528301886793,53,50
ธนบุรี 1,Top,THG,Private,435,5620,9,625,0.0861169102296451,0.9138830897703549,3832,120
ธนบุรี 2,None,THG,Private,95,5350,9,222,0.07747196738022426,0.9225280326197758,2943,140
ธนบุรี บำรุงเมือง,None,THG,Private,1400,5620,8,86,0.08,0.92,75,200
นครธน,None,None,Private,150,4500,8,60,0.06497277676950998,0.9357531760435571,2755,150
นพรัตนราชธานี,None,None,Public,609,1400,9,128,0.1590909090909091,0.8409090909090909,88,150
นวเวช,None,None,Private,99,4000,8,240,0.03333333333333333,0.9666666666666667,30,100
นวมินทร์,None,None,Private,180,3000,9,92,0.1,0.9,40,100
นวมินทร์ 9,None,None,Private,245,3280,9,179,0.08873563218390805,0.911264367816092,2175,100
บางโพ,None,None,Private,100,3700,9,155,0.13191489361702127,0.8680851063829788,1645,50
บางไผ่,None,None,Private,100,3530,9,8,0.03225806451612903,0.967741935483871,186,100
บางนา 1,None,None,Private,101,2700,7,84,0.035856573705179286,0.9641434262948207,251,100
บางปะกอก 1,None,BHGRT,Private,120,3200,7,171,0.06896551724137931,0.9310344827586207,1827,100
บางปะกอก 8,None,BHGRT,Private,200,3200,9,219,0.12987012987012986,0.8701298701298701,308,80
บางปะกอก 9 อินเตอร์เนชั่นแนล,Top,BHGRT,Private,120,3200,7,285,0.06396713615023474,0.9360328638497653,1704,120
บางมด,None,None,Private,203,4000,9,71,0.07773851590106007,0.9222614840989399,283,200
บ้านแพ้วสาขาสาทร,None,None,Public,54,2300,6,47,0.21739130434782608,0.782608695652174,46,50
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,0.07317073170731707,0.926829268292683,2419,300
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,0.05484024797329518,0.9451597520267048,2097,350
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,0.0617124394184168,0.9382875605815832,3095,80
บุญญาเวช,None,None,Private,29,2900,8,8,0.09302325581395349,0.9069767441860465,43,120
ปิยะเวท,None,BHGRT,Private,150,5760,9,243,0.04880478087649402,0.951195219123506,1004,150
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,0.06648103028193526,0.9335189697180647,2873,150
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,0.07105802871275184,0.929183254916154,8289,180
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,0.09791477787851315,0.9020852221214869,4412,150
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,0.061795569374271275,0.9382044306257287,2573,80
พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,0.14363143631436315,0.8563685636856369,738,50
พระรามเก้า,Top,None,Private,166,7950,9,340,0.04361104324456389,0.9563889567554361,8186,250
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,0.08661417322834646,0.9133858267716536,254,50
มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,0.06556968337073049,0.9344303166292696,4011,75
มิชชั่น,None,None,Private,120,4000,6,107,0.06666666666666667,0.9333333333333333,705,150
มิตรประชา,None,None,Private,148,1800,9,55,0.06578947368421052,0.9342105263157895,76,120
รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,0.1,0.9,40,100
ราชวิถี,Top,None,Private,1031,4300,9,347,0.324,0.676,250,100
รามคำแหง,Top,RAM,Public,486,3500,9,327,0.07943777637397346,0.9205622236260266,6332,80
รามาธิบดี,Top,None,Private,1378,1000,9,1041,0.15378234903782348,0.8465494359654944,6028,100
ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,0.11826086956521739,0.8817391304347826,575,200
ลาดพร้าว,None,None,Private,180,4700,8,206,0.06286337209302326,0.9372577519379846,8256,200
วชิรพยาบาล,Top,None,Public,740,2400,9,341,0.450199203187251,0.5577689243027888,251,50
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,0.09900990099009901,0.900990099009901,202,110
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,0.12229102167182662,0.8792569659442725,646,80
วิชัยยุทธ,None,None,Private,207,5500,9,716,0.07395418326693227,0.9267928286852589,4016,250
วิภาราม,None,VIBHA,Private,150,2200,9,272,0.05482972799314628,0.9451702720068537,4669,100
วิภาวดี,None,None,Private,258,4360,8,417,0.09191469950963622,0.9080853004903637,8769,80
วิมุต,None,None,Private,236,5900,7,232,0.041353383458646614,0.9586466165413534,266,150
ศิครินทร์,None,None,Private,258,5100,9,348,0.08176905574516496,0.9182309442548351,7032,120
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,350,6700,9,615,0.22162576687116564,0.778680981595092,6520,180
ศิริราชพยาบาล,None,None,Public,2112,1000,9,2263,0.23731186559327966,0.7633881694084704,2857,130
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,173,0.24468085106382978,0.7553191489361702,94,150
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,85,0.11976047904191617,0.8802395209580839,167,300
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,0.041762013729977114,0.9582379862700229,1748,300
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,8,0.06523605150214593,0.9353361945636623,3495,200
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,571,0.06955128205128205,0.9307692307692308,3120,300
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,0.09243697478991597,0.907563025210084,119,30
สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,0.03333333333333333,0.9666666666666667,30,150
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,0.1260827718960539,0.8739172281039461,3117,100
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,0.1247870528109029,0.8752129471890971,4696,100
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,258,0.11894273127753303,0.8810572687224669,227,150
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,0.0847457627118644,0.9152542372881356,354,510
สุขสวัสดิ์,None,None,Private,100,4200,8,49,0.16666666666666666,0.8333333333333334,30,50
